Survey questionnaires |	Collecting data through structured sets of questions administered to respondents.
Experiments	| Conducting controlled tests to investigate cause-and-effect relationships.
Observations |	Systematically recording behaviors or events in their natural settings.
Case studies |	In-depth examination of a single case or a small number of cases.
Content analysis |	Analysing textual or visual content for patterns, themes, or meanings.
Archival research |	Examining historical records and documents to gather information.
Interviews |	Conducting one-on-one or group discussions to collect qualitative data.
Secondary data analysis |	Analysing existing data collected for a different purpose.
Document analysis |	Examining written or textual materials to extract insights.
Online data collection |	Gathering and analysing data from online sources, platforms, or surveys.
Focus groups |	Group discussions with participants to explore opinions and experiences.
Delphi method |	A structured, iterative approach to reach a consensus among experts.
Cross-sectional study	| Collecting data from a group of participants at a single point in time.
Systematic literature review |	A comprehensive and systematic examination of existing research in a particular field.
Biometric data analysis |	Analysing physiological or behavioral data, such as fingerprints or heart rate.
